2026-02-08 17:57:22,826 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.826902", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_rated", "metric": "vote_average", "top_movie": "Jurassic World: Fallen Kingdom", "top_value": 6.533, "rows_returned": 10}
2026-02-08 17:57:22,827 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.827013", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI most_popular", "metric": "popularity"}
2026-02-08 17:57:22,829 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.829322", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_popular", "metric": "popularity", "top_movie": "The Avengers", "top_value": 63.2171, "rows_returned": 10}
2026-02-08 17:57:22,829 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.829463", "level": "INFO", "event_type": "advanced_search_start", "message": "Bruce Willis Sci-Fi/Action search"}
2026-02-08 17:57:22,831 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.831669", "level": "INFO", "event_type": "advanced_search_result", "message": "Completed Bruce Willis search", "rows_returned": 0}
2026-02-08 17:57:22,831 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.831797", "level": "INFO", "event_type": "advanced_search_start", "message": "Uma Thurman + Quentin Tarantino search"}
2026-02-08 17:57:22,833 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.832962", "level": "INFO", "event_type": "advanced_search_result", "message": "Completed Uma Thurman search", "rows_returned": 0}
2026-02-08 17:57:22,833 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.833075", "level": "INFO", "event_type": "franchise_analysis_start", "message": "Analyzing franchise vs standalone"}
2026-02-08 17:57:22,839 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.839802", "level": "INFO", "event_type": "franchise_analysis_result", "message": "Computed franchise vs standalone stats", "groups": 2}
2026-02-08 17:57:22,839 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.839933", "level": "INFO", "event_type": "franchise_ranking_start", "message": "Ranking franchises by total revenue"}
2026-02-08 17:57:22,847 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.847079", "level": "INFO", "event_type": "franchise_ranking_result", "message": "Top franchises computed", "rows_returned": 10}
2026-02-08 17:57:22,847 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.847233", "level": "INFO", "event_type": "director_ranking_start", "message": "Ranking directors by total revenue"}
2026-02-08 17:57:22,852 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.852451", "level": "INFO", "event_type": "director_ranking_result", "message": "Top directors computed", "rows_returned": 10}
2026-02-08 17:57:22,852 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.852586", "level": "INFO", "event_type": "pipeline_complete", "message": "Advanced TMDB analysis completed"}
2026-02-08 17:57:22,852 | INFO | advanced | Advanced analysis completed | rows=18
2026-02-08 17:57:22,856 | INFO | advanced | Saved clean dataset | path=./data/clean/tmdb_clean_after_kpi.csv
2026-02-08 18:01:49,911 | INFO | advanced | Advanced analysis started
2026-02-08 18:01:49,911 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.911208", "level": "INFO", "event_type": "pipeline_start", "message": "Starting advanced TMDB analysis"}
2026-02-08 18:01:49,912 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.912337", "level": "INFO", "event_type": "feature_engineering", "message": "Computed profit and ROI", "total_rows": 18}
2026-02-08 18:01:49,912 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.912483", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_revenue", "metric": "revenue_musd"}
2026-02-08 18:01:49,913 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.913513", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_revenue", "metric": "revenue_musd", "top_movie": "Avatar", "top_value": 2923.706026, "rows_returned": 10}
